id,name,isPremium,region,subRegion,address,thumbnailUrl,description,tags,naverLink
1,구사컴퓨터,TRUE,경기,수원시,경기도 수원시 장안구 일월로76번길 10-4 1층,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241023_55%2F1729673110572pvXKB_JPEG%2FR0004913.JPG,수원 1등 조립컴퓨터 판매 및 수리 매장,조립컴퓨터 / 컴퓨터수리 / 조립대행,https://naver.me/FJbYgwxg
2,컴퓨터온,FALSE,경기,수원시,경기 수원시 권선구 입북로 37 컴퓨터온,,"입북동 컴퓨터수리,노트북수리 전문 매장",컴퓨터수리 / 노트북수리 / 포맷,https://naver.me/Fcm2wE9v
3,주연테크컴퓨터 금곡호매실지구점,FALSE,경기,수원시,경기 수원시 권선구 금호로 64-3 1층 101호,,금곡 호매실 컴퓨터수리 전문 매장,조립컴퓨터 / 컴퓨터수리,https://naver.me/FtTt5Onk
4,제이손,FALSE,경기,수원시,경기 수원시 권선구 구운로47번길 17 1층,,"구운동 조립컴퓨터, 컴퓨터수리 전문 매장",조립컴퓨터 / 컴퓨터수리,https://naver.me/x8kMy8be
5,컴샵,FALSE,경기,수원시,경기 수원시 영통구 도청로 95 유니코어 알파동 상가 지하 1층 102호,,"광교 조립컴퓨터, 컴퓨터수리 전문 매장",조립컴퓨터 / 컴퓨터수리,https://naver.me/xAFKrIvI
6,더존컴퓨터,FALSE,서울,강동구,서울 강동구 구천면로 476 주공9단지 종합상가 108호,,명일동 컴퓨터수리 전문 매장,조립컴퓨터 / 컴퓨터수리,https://naver.me/502OC3v7
7,소가컴퓨터,FALSE,서울,강동구,서울 강동구 상암로12길 20 유원아파트상가 1층 101호,,천호동 컴퓨터수리 전문 매장,조립컴퓨터 / 컴퓨터수리,https://naver.me/5r3vmlHC
8,주연테크 강동역점,FALSE,서울,강동구,서울 강동구 천호대로 1073 1층 108호,,천포동 컴퓨터수리 전문 매장,조립컴퓨터 / 컴퓨터수리,https://naver.me/x1VWoGJy
9,피씨클럽 강북센터,FALSE,서울,강북구,서울 강북구 덕릉로 27 1층,,수유동 컴퓨터수리 전문 매장,조립컴퓨터 / 컴퓨터수리,https://naver.me/5ECcbsXT
10,컴히어로,FALSE,서울,강북구,서울 강북구 번동 412-56,,강북 번동 컴퓨터수리 매장,조립컴퓨터 / 컴퓨터수리,https://naver.me/5V8zBUMJ
11,닥터피씨,FALSE,서울,강서구,서울 강서구 마곡서로 158 마곡센트럴타워2차 3층 320호,,마곡동 컴퓨터수리 매장,조립컴퓨터 / 출장수리,https://naver.me/5Q3BGsSD
12,컴퓨터앤휠킥,FALSE,서울,관악구,서울 관악구 조원로6길 9 1층 컴퓨터앤휠킥,,신림동 컴퓨터수리 매장,조립컴퓨터 / 출장수리,https://naver.me/xdpTZXZV
13,컴퓨터프라자,FALSE,서울,관악구,서울 관악구 쑥고개로 98,,봉천동 컴퓨터수리 매장,조립컴퓨터 / 출장수리,https://naver.me/GYCZ2sNm
